entity_name,sector,sub_sector,domain,scan_targets,meets_proposed_threshold,notes
Spark New Zealand,Communications & Data,Telecommunications,spark.co.nz,spark.co.nz:443,Yes,"Major telco; mobile (41% market share), broadband, digital services"
One NZ,Communications & Data,Telecommunications,one.nz,one.nz:443,Yes,"Formerly Vodafone NZ; largest wireless carrier (38% market share)"
2degrees,Communications & Data,Telecommunications,2degrees.nz,2degrees.nz:443,Yes,"Third mobile network operator (19% market share)"
Chorus,Communications & Data,Fixed-line Infrastructure,chorus.co.nz,chorus.co.nz:443,Yes,"National fibre and copper broadband network operator; wholesale-only"
Southern Cross Cables,Communications & Data,Submarine Cables,southerncrosscables.com,southerncrosscables.com:443,Yes,"International submarine cable network (SCCN + NEXT); NZ primary international connectivity"
Vocus NZ,Communications & Data,Telecommunications,vocus.co.nz,vocus.co.nz:443,Yes,"Major fibre and wholesale provider; owns Slingshot, Orcon, Flip brands"
InternetNZ,Communications & Data,Domain Registry,internetnz.nz,internetnz.nz:443,Yes,".nz ccTLD registry operator; 756k+ registered .nz domains"
Domain Name Commission,Communications & Data,Domain Registry,dnc.org.nz,dnc.org.nz:443,Yes,"InternetNZ subsidiary; .nz domain compliance and dispute resolution"
Kordia,Communications & Data,Broadcast Infrastructure,kordia.co.nz,kordia.co.nz:443,Yes,"SOE; broadcast transmission (87% of NZ), maritime safety-of-life radio, emergency comms"
TVNZ,Communications & Data,Broadcast Media,tvnz.co.nz,tvnz.co.nz:443,Yes,"State-owned television broadcaster; Crown entity"
RNZ,Communications & Data,Broadcast Media,rnz.co.nz,rnz.co.nz:443,Yes,"Public radio broadcaster; statutory civil defence lifeline utility"
CDC Data Centres,Communications & Data,Data Centres,cdc.com,cdc.com:443,Yes,"Largest sovereign data centre provider in AU/NZ; hosts national critical infrastructure"
Datacom,Communications & Data,Data Centres,datacom.com,datacom.com:443,Yes,"Major NZ-headquartered IT services and data centre operator"
NZ Defence Force,Defence,Military,nzdf.mil.nz,nzdf.mil.nz:443,Yes,"Combined military forces; Army, Navy, Air Force"
Ministry of Defence,Defence,Civilian Oversight,defence.govt.nz,defence.govt.nz:443,Yes,"Civilian ministry responsible for defence policy and procurement"
Mercury Energy,Energy,Electricity Generation,mercury.co.nz,mercury.co.nz:443,Yes,"Major gentailer; ~20% generation market share; 51% Crown-owned"
Meridian Energy,Energy,Electricity Generation,meridianenergy.co.nz,meridianenergy.co.nz:443,Yes,"Largest generator; ~30% generation market share; 51% Crown-owned"
Genesis Energy,Energy,Electricity Generation,genesisenergy.co.nz,genesisenergy.co.nz:443,Yes,"Major gentailer; operates Huntly Power Station; 51% Crown-owned"
Contact Energy,Energy,Electricity Generation,contact.co.nz,contact.co.nz:443,Yes,"Major gentailer; ~20% generation market share; publicly listed"
Transpower,Energy,Electricity Transmission,transpower.co.nz,transpower.co.nz:443,Yes,"SOE; sole national grid transmission operator; 12000km+ high-voltage lines"
Vector,Energy,Electricity Distribution,vector.co.nz,vector.co.nz:443,Yes,"Largest EDB; 600k+ ICPs; Auckland region; also gas distribution"
Powerco,Energy,Electricity Distribution,powerco.co.nz,powerco.co.nz:443,Yes,"Second-largest EDB; serves Waikato, Taranaki, Whanganui, Manawatu, Wellington regions"
Orion NZ,Energy,Electricity Distribution,oriongroup.co.nz,oriongroup.co.nz:443,Yes,"Canterbury EDB; ~210k ICPs; owned by Christchurch and Selwyn councils"
Wellington Electricity,Energy,Electricity Distribution,welectricity.co.nz,welectricity.co.nz:443,Yes,"Wellington metro EDB; ~170k ICPs"
